"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP4_C0","Number!!Total housing units"
"DP4_C1","Percent!!Total housing units"
"DP4_C2","Number!!Total housing units!!UNITS IN STRUCTURE!!1-unit, detached"
"DP4_C3","Percent!!Total housing units!!UNITS IN STRUCTURE!!1-unit, detached"
"DP4_C4","Number!!Total housing units!!UNITS IN STRUCTURE!!1-unit, attached"
"DP4_C5","Percent!!Total housing units!!UNITS IN STRUCTURE!!1-unit, attached"
"DP4_C6","Number!!Total housing units!!UNITS IN STRUCTURE!!2 units"
"DP4_C7","Percent!!Total housing units!!UNITS IN STRUCTURE!!2 units"
"DP4_C8","Number!!Total housing units!!UNITS IN STRUCTURE!!3 or 4 units"
"DP4_C9","Percent!!Total housing units!!UNITS IN STRUCTURE!!3 or 4 units"
"DP4_C10","Number!!Total housing units!!UNITS IN STRUCTURE!!5 to 9 units"
"DP4_C11","Percent!!Total housing units!!UNITS IN STRUCTURE!!5 to 9 units"
"DP4_C12","Number!!Total housing units!!UNITS IN STRUCTURE!!10 to 19 units"
"DP4_C13","Percent!!Total housing units!!UNITS IN STRUCTURE!!10 to 19 units"
"DP4_C14","Number!!Total housing units!!UNITS IN STRUCTURE!!20 or more units"
"DP4_C15","Percent!!Total housing units!!UNITS IN STRUCTURE!!20 or more units"
"DP4_C16","Number!!Total housing units!!UNITS IN STRUCTURE!!Mobile home"
"DP4_C17","Percent!!Total housing units!!UNITS IN STRUCTURE!!Mobile home"
"DP4_C18","Number!!Total housing units!!UNITS IN STRUCTURE!!Boat, RV, van, etc."
"DP4_C19","Percent!!Total housing units!!UNITS IN STRUCTURE!!Boat, RV, van, etc."
"DP4_C20","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1999 to March 2000"
"DP4_C21","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1999 to March 2000"
"DP4_C22","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1995 to 1998"
"DP4_C23","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1995 to 1998"
"DP4_C24","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1990 to 1994"
"DP4_C25","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1990 to 1994"
"DP4_C26","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1980 to 1989"
"DP4_C27","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1980 to 1989"
"DP4_C28","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1970 to 1979"
"DP4_C29","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1970 to 1979"
"DP4_C30","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1960 to 1969"
"DP4_C31","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1960 to 1969"
"DP4_C32","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1940 to 1959"
"DP4_C33","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1940 to 1959"
"DP4_C34","Number!!Total housing units!!YEAR STRUCTURE BUILT!!1939 or earlier"
"DP4_C35","Percent!!Total housing units!!YEAR STRUCTURE BUILT!!1939 or earlier"
"DP4_C36","Number!!Total housing units!!ROOMS!!1 room"
"DP4_C37","Percent!!Total housing units!!ROOMS!!1 room"
"DP4_C38","Number!!Total housing units!!ROOMS!!2 rooms"
"DP4_C39","Percent!!Total housing units!!ROOMS!!2 rooms"
"DP4_C40","Number!!Total housing units!!ROOMS!!3 rooms"
"DP4_C41","Percent!!Total housing units!!ROOMS!!3 rooms"
"DP4_C42","Number!!Total housing units!!ROOMS!!4 rooms"
"DP4_C43","Percent!!Total housing units!!ROOMS!!4 rooms"
"DP4_C44","Number!!Total housing units!!ROOMS!!5 rooms"
"DP4_C45","Percent!!Total housing units!!ROOMS!!5 rooms"
"DP4_C46","Number!!Total housing units!!ROOMS!!6 rooms"
"DP4_C47","Percent!!Total housing units!!ROOMS!!6 rooms"
"DP4_C48","Number!!Total housing units!!ROOMS!!7 rooms"
"DP4_C49","Percent!!Total housing units!!ROOMS!!7 rooms"
"DP4_C50","Number!!Total housing units!!ROOMS!!8 rooms"
"DP4_C51","Percent!!Total housing units!!ROOMS!!8 rooms"
