"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","DP1_C0","DP1_C1","DP1_C2","DP1_C3","DP1_C4","DP1_C5","DP1_C6","DP1_C7","DP1_C8","DP1_C9","DP1_C10","DP1_C11","DP1_C12","DP1_C13","DP1_C14","DP1_C15","DP1_C16","DP1_C17","DP1_C18","DP1_C19","DP1_C20","DP1_C21","DP1_C22","DP1_C23","DP1_C24","DP1_C25","DP1_C26","DP1_C27","DP1_C28","DP1_C29","DP1_C30","DP1_C31","DP1_C32","DP1_E1","DP1_C33","DP1_C34","DP1_C35","DP1_C36","DP1_C37","DP1_C38","DP1_C39","DP1_C40","DP1_C41","DP1_C42","DP1_C43","DP1_C44","DP1_C45","DP1_C46","DP1_C47","DP1_C48","DP1_C49","DP1_C50","DP1_C51","DP1_C52","DP1_C53","DP1_C54","DP1_C55","DP1_C56","DP1_C57","DP1_C58","DP1_C59","DP1_C60","DP1_C61","DP1_C62","DP1_C63","DP1_C64","DP1_C65","DP1_C66","DP1_C67","DP1_C68","DP1_C69","DP1_C70","DP1_C71","DP1_C72","DP1_C73","DP1_C74","DP1_C75","DP1_C76","DP1_C77","DP1_C78","DP1_C79","DP1_C80","DP1_C81","DP1_C82","DP1_C83","DP1_C84","DP1_C85","DP1_C86","DP1_C87","DP1_C88","DP1_C89","DP1_C90","DP1_C91","DP1_C92","DP1_C93","DP1_C94","DP1_C95","DP1_C96","DP1_C97","DP1_C98","DP1_C99","DP1_E2","DP1_C100","DP1_E3","DP1_C101","DP1_C102","DP1_C103","DP1_C104","DP1_C105","DP1_C106","DP1_C107","DP1_E4","DP1_C108","DP1_E5",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Number!!Total population","Percent!!Total population","Number!!Total population!!SEX AND AGE!!Male","Percent!!Total population!!SEX AND AGE!!Male","Number!!Total population!!SEX AND AGE!!Female","Percent!!Total population!!SEX AND AGE!!Female","Number!!Total population!!SEX AND AGE!!Under 5 years","Percent!!Total population!!SEX AND AGE!!Under 5 years","Number!!Total population!!SEX AND AGE!!5 to 9 years","Percent!!Total population!!SEX AND AGE!!5 to 9 years","Number!!Total population!!SEX AND AGE!!10 to 14 years","Percent!!Total population!!SEX AND AGE!!10 to 14 years","Number!!Total population!!SEX AND AGE!!15 to 19 years","Percent!!Total population!!SEX AND AGE!!15 to 19 years","Number!!Total population!!SEX AND AGE!!20 to 24 years","Percent!!Total population!!SEX AND AGE!!20 to 24 years","Number!!Total population!!SEX AND AGE!!25 to 34 years","Percent!!Total population!!SEX AND AGE!!25 to 34 years","Number!!Total population!!SEX AND AGE!!35 to 44 years","Percent!!Total population!!SEX AND AGE!!35 to 44 years","Number!!Total population!!SEX AND AGE!!45 to 54 years","Percent!!Total population!!SEX AND AGE!!45 to 54 years","Number!!Total population!!SEX AND AGE!!55 to 59 years","Percent!!Total population!!SEX AND AGE!!55 to 59 years","Number!!Total population!!SEX AND AGE!!60 to 64 years","Percent!!Total population!!SEX AND AGE!!60 to 64 years","Number!!Total population!!SEX AND AGE!!65 to 74 years","Percent!!Total population!!SEX AND AGE!!65 to 74 years","Number!!Total population!!SEX AND AGE!!75 to 84 years","Percent!!Total population!!SEX AND AGE!!75 to 84 years","Number!!Total population!!SEX AND AGE!!85 years and over","Percent!!Total population!!SEX AND AGE!!85 years and over","Number!!Total population!!SEX AND AGE!!Median age (years)","Percent!!Total population!!SEX AND AGE!!Median age (years)","Number!!Total population!!SEX AND AGE!!18 years and over","Percent!!Total population!!SEX AND AGE!!18 years and over","Number!!Total population!!SEX AND AGE!!18 years and over!!Male","Percent!!Total population!!SEX AND AGE!!18 years and over!!Male","Number!!Total population!!SEX AND AGE!!18 years and over!!Female","Percent!!Total population!!SEX AND AGE!!18 years and over!!Female","Number!!Total population!!SEX AND AGE!!21 years and over","Percent!!Total population!!SEX AND AGE!!21 years and over","Number!!Total population!!SEX AND AGE!!62 years and over","Percent!!Total population!!SEX AND AGE!!62 years and over","Number!!Total population!!SEX AND AGE!!65 years and over","Percent!!Total population!!SEX AND AGE!!65 years and over","Number!!Total population!!SEX AND AGE!!65 years and over!!Male","Percent!!Total population!!SEX AND AGE!!65 years and over!!Male","Number!!Total population!!SEX AND AGE!!65 years and over!!Female","Percent!!Total population!!SEX AND AGE!!65 years and over!!Female","Number!!RELATIONSHIP!!Population","Percent!!RELATIONSHIP!!Population","Number!!RELATIONSHIP!!Population!!In households","Percent!!RELATIONSHIP!!Population!!In households","Number!!RELATIONSHIP!!Population!!In households!!Householder","Percent!!RELATIONSHIP!!Population!!In households!!Householder","Number!!RELATIONSHIP!!Population!!In households!!Spouse","Percent!!RELATIONSHIP!!Population!!In households!!Spouse","Number!!RELATIONSHIP!!Population!!In households!!Child","Percent!!RELATIONSHIP!!Population!!In households!!Child","Number!!RELATIONSHIP!!Population!!In households!!Child!!Own child under 18 years","Percent!!RELATIONSHIP!!Population!!In households!!Child!!Own child under 18 years","Number!!RELATIONSHIP!!Population!!In households!!Other relatives","Percent!!RELATIONSHIP!!Population!!In households!!Other relatives","Number!!RELATIONSHIP!!Population!!In households!!Other relatives!!Under 18 years","Percent!!RELATIONSHIP!!Population!!In households!!Other relatives!!Under 18 years","Number!!RELATIONSHIP!!Population!!In households!!Nonrelatives","Percent!!RELATIONSHIP!!Population!!In households!!Nonrelatives","Number!!RELATIONSHIP!!Population!!In households!!Nonrelatives!!Unmarried partner","Percent!!RELATIONSHIP!!Population!!In households!!Nonrelatives!!Unmarried partner","Number!!RELATIONSHIP!!Population!!In group quarters","Percent!!RELATIONSHIP!!Population!!In group quarters","Number!!RELATIONSHIP!!Population!!In group quarters!!Institutionalized population","Percent!!RELATIONSHIP!!Population!!In group quarters!!Institutionalized population","Number!!RELATIONSHIP!!Population!!In group quarters!!Noninstitutionalized population","Percent!!RELATIONSHIP!!Population!!In group quarters!!Noninstitutionalized population","Number!!HOUSEHOLDS BY TYPE!!Households","Percent!!HOUSEHOLDS BY TYPE!!Households","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!With own children under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!With own children under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family!!With own children under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Married-couple family!!With own children under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present","Number!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present!!With own children under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Family households (families)!!Female householder, no husband present!!With own children under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households","Percent!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households","Number!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone","Percent!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone","Number!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone!!Householder 65 years and over","Percent!!HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone!!Householder 65 years and over","Number!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals under 18 years","Percent!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals under 18 years","Number!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals 65 years and over","Percent!!HOUSEHOLDS BY TYPE!!Households!!Households with individuals 65 years and over","Number!!HOUSEHOLDS BY TYPE!!Households!!Average household size","Percent!!HOUSEHOLDS BY TYPE!!Households!!Average household size","Number!!HOUSEHOLDS BY TYPE!!Households!!Average family size","Percent!!HOUSEHOLDS BY TYPE!!Households!!Average family size","Number!!HOUSING TENURE!!Occupied housing units","Percent!!HOUSING TENURE!!Occupied housing units","Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units","Percent!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units","Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units","Percent!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units","Number!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","Percent!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","Number!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","Percent!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit",
"1400000US17031150100","Census Tract 1501, Cook County, Illinois","400","Hispanic or Latino (of any race) (200-299)","100","100.0","49","49.0","51","51.0","18","18.0","9","9.0","5","5.0","7","7.0","8","8.0","16","16.0","15","15.0","10","10.0","6","6.0","2","2.0","3","3.0","1","1.0","0","0.0","26.5","(X)","63","63.0","32","32.0","31","31.0","60","60.0","5","5.0","4","4.0","2","2.0","2","2.0","100","100.0","100","100.0","27","27.0","19","19.0","42","42.0","35","35.0","8","8.0","2","2.0","4","4.0","3","3.0","0","0.0","0","0.0","0","0.0","27","100.0","22","81.5","19","70.4","21","77.8","18","66.7","1","3.7","1","3.7","5","18.5","3","11.1","0","0.0","20","74.1","3","11.1","3.78","(X)","4.23","(X)","27","100.0","14","51.9","13","48.1","4.29","(X)","3.23","(X)",
"1400000US17031150100","Census Tract 1501, Cook County, Illinois","451","White alone, not Hispanic or Latino","163","100.0","81","49.7","82","50.3","5","3.1","17","10.4","10","6.1","3","1.8","12","7.4","30","18.4","26","16.0","29","17.8","10","6.1","9","5.5","5","3.1","6","3.7","1","0.6","35.9","(X)","130","79.8","63","38.7","67","41.1","127","77.9","15","9.2","12","7.4","3","1.8","9","5.5","163","100.0","163","100.0","62","38.0","36","22.1","42","25.8","32","19.6","6","3.7","1","0.6","17","10.4","4","2.5","0","0.0","0","0.0","0","0.0","62","100.0","38","61.3","19","30.6","34","54.8","19","30.6","3","4.8","0","0.0","24","38.7","14","22.6","5","8.1","20","32.3","10","16.1","2.60","(X)","3.16","(X)","62","100.0","27","43.5","35","56.5","2.56","(X)","2.63","(X)",
"1400000US17031241700","Census Tract 2417, Cook County, Illinois","400","Hispanic or Latino (of any race) (200-299)","105","100.0","62","59.0","43","41.0","3","2.9","8","7.6","2","1.9","10","9.5","20","19.0","16","15.2","20","19.0","12","11.4","5","4.8","3","2.9","2","1.9","0","0.0","4","3.8","30.8","(X)","87","82.9","52","49.5","35","33.3","78","74.3","7","6.7","6","5.7","1","1.0","5","4.8","105","100.0","95","90.5","32","30.5","13","12.4","28","26.7","13","12.4","16","15.2","4","3.8","6","5.7","3","2.9","10","9.5","0","0.0","10","9.5","32","100.0","24","75.0","7","21.9","13","40.6","5","15.6","4","12.5","1","3.1","8","25.0","5","15.6","0","0.0","10","31.3","5","15.6","2.91","(X)","3.29","(X)","32","100.0","4","12.5","28","87.5","4.00","(X)","2.75","(X)",
"1400000US17031241700","Census Tract 2417, Cook County, Illinois","451","White alone, not Hispanic or Latino","196","100.0","119","60.7","77","39.3","4","2.0","4","2.0","6","3.1","3","1.5","19","9.7","84","42.9","35","17.9","13","6.6","3","1.5","9","4.6","5","2.6","10","5.1","1","0.5","32.2","(X)","180","91.8","107","54.6","73","37.2","178","90.8","17","8.7","16","8.2","9","4.6","7","3.6","196","100.0","185","94.4","107","54.6","18","9.2","21","10.7","15","7.7","9","4.6","0","0.0","30","15.3","9","4.6","11","5.6","0","0.0","11","5.6","107","100.0","32","29.9","10","9.3","19","17.8","6","5.6","6","5.6","3","2.8","75","70.1","51","47.7","8","7.5","10","9.3","13","12.1","1.76","(X)","2.56","(X)","107","100.0","30","28.0","77","72.0","1.87","(X)","1.71","(X)",
"1400000US17031243600","Census Tract 2436, Cook County, Illinois","451","White alone, not Hispanic or Latino","272","100.0","162","59.6","110","40.4","11","4.0","1","0.4","1","0.4","3","1.1","14","5.1","106","39.0","81","29.8","37","13.6","6","2.2","3","1.1","7","2.6","1","0.4","1","0.4","35.0","(X)","258","94.9","152","55.9","106","39.0","254","93.4","11","4.0","9","3.3","4","1.5","5","1.8","272","100.0","272","100.0","177","65.1","37","13.6","19","7.0","11","4.0","7","2.6","2","0.7","32","11.8","9","3.3","0","0.0","0","0.0","0","0.0","177","100.0","46","26.0","11","6.2","38","21.5","10","5.6","3","1.7","1","0.6","131","74.0","109","61.6","5","2.8","13","7.3","9","5.1","1.55","(X)","2.46","(X)","177","100.0","133","75.1","44","24.9","1.54","(X)","1.59","(X)",
"1400000US17031270600","Census Tract 2706, Cook County, Illinois","453","Black or African American alone, not Hispanic or Latino","672","100.0","306","45.5","366","54.5","50","7.4","84","12.5","88","13.1","86","12.8","43","6.4","81","12.1","87","12.9","63","9.4","18","2.7","19","2.8","25","3.7","24","3.6","4","0.6","22.3","(X)","393","58.5","159","23.7","234","34.8","350","52.1","65","9.7","53","7.9","20","3.0","33","4.9","672","100.0","672","100.0","215","32.0","41","6.1","283","42.1","207","30.8","92","13.7","60","8.9","41","6.1","10","1.5","0","0.0","0","0.0","0","0.0","215","100.0","163","75.8","92","42.8","41","19.1","12","5.6","108","50.2","77","35.8","52","24.2","40","18.6","14","6.5","111","51.6","41","19.1","3.14","(X)","3.56","(X)","215","100.0","26","12.1","189","87.9","3.81","(X)","3.05","(X)",
"1400000US17031270900","Census Tract 2709, Cook County, Illinois","453","Black or African American alone, not Hispanic or Latino","240","100.0","116","48.3","124","51.7","20","8.3","27","11.3","29","12.1","18","7.5","9","3.8","30","12.5","29","12.1","22","9.2","6","2.5","11","4.6","19","7.9","15","6.3","5","2.1","31.0","(X)","156","65.0","75","31.3","81","33.8","146","60.8","46","19.2","39","16.3","15","6.3","24","10.0","240","100.0","240","100.0","88","36.7","18","7.5","73","30.4","49","20.4","53","22.1","33","13.8","8","3.3","2","0.8","0","0.0","0","0.0","0","0.0","88","100.0","54","61.4","21","23.9","18","20.5","8","9.1","29","33.0","11","12.5","34","38.6","33","37.5","19","21.6","36","40.9","33","37.5","2.73","(X)","3.67","(X)","88","100.0","34","38.6","54","61.4","3.26","(X)","2.39","(X)",
"1400000US17031280300","Census Tract 2803, Cook County, Illinois","451","White alone, not Hispanic or Latino","189","100.0","109","57.7","80","42.3","5","2.6","1","0.5","1","0.5","0","0.0","6","3.2","82","43.4","38","20.1","28","14.8","13","6.9","4","2.1","5","2.6","5","2.6","1","0.5","34.9","(X)","182","96.3","106","56.1","76","40.2","182","96.3","11","5.8","11","5.8","6","3.2","5","2.6","189","100.0","189","100.0","116","61.4","38","20.1","7","3.7","7","3.7","2","1.1","0","0.0","26","13.8","17","9.0","0","0.0","0","0.0","0","0.0","116","100.0","43","37.1","5","4.3","39","33.6","3","2.6","3","2.6","2","1.7","73","62.9","50","43.1","5","4.3","5","4.3","10","8.6","1.64","(X)","2.12","(X)","116","100.0","48","41.4","68","58.6","1.77","(X)","1.54","(X)",
"1400000US17031280300","Census Tract 2803, Cook County, Illinois","453","Black or African American alone, not Hispanic or Latino","191","100.0","100","52.4","91","47.6","6","3.1","5","2.6","10","5.2","9","4.7","4","2.1","18","9.4","33","17.3","16","8.4","14","7.3","12","6.3","42","22.0","21","11.0","1","0.5","52.2","(X)","164","85.9","86","45.0","78","40.8","160","83.8","71","37.2","64","33.5","22","11.5","42","22.0","191","100.0","191","100.0","126","66.0","13","6.8","24","12.6","18","9.4","13","6.8","9","4.7","15","7.9","7","3.7","0","0.0","0","0.0","0","0.0","126","100.0","23","18.3","12","9.5","13","10.3","6","4.8","8","6.3","4","3.2","103","81.7","91","72.2","52","41.3","15","11.9","62","49.2","1.52","(X)","3.17","(X)","126","100.0","14","11.1","112","88.9","2.29","(X)","1.42","(X)",
