STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00,closest_station_id
17,031,380600,17031380600,3806,Census Tract 3806,G5020,S,90262,0,+41.8147517,-087.6276515,41230.0
17,031,380700,17031380700,3807,Census Tract 3807,G5020,S,244481,0,+41.8138060,-087.6237680,41270.0
17,031,380800,17031380800,3808,Census Tract 3808,G5020,S,231912,0,+41.8138794,-087.6190244,41270.0
17,031,380900,17031380900,3809,Census Tract 3809,G5020,S,258641,0,+41.8139602,-087.6141404,41270.0
17,031,381200,17031381200,3812,Census Tract 3812,G5020,S,258554,0,+41.8085114,-087.6139992,41080.0
17,031,381300,17031381300,3813,Census Tract 3813,G5020,S,52513,0,+41.8093665,-087.6173715,41080.0
17,031,381400,17031381400,3814,Census Tract 3814,G5020,S,316691,0,+41.8076202,-087.6214298,41080.0
17,031,381500,17031381500,3815,Census Tract 3815,G5020,S,108677,0,+41.8101927,-087.6228619,41080.0
17,031,381600,17031381600,3816,Census Tract 3816,G5020,S,99927,0,+41.8111214,-087.6275493,41230.0
17,031,381700,17031381700,3817,Census Tract 3817,G5020,S,196803,0,+41.8055502,-087.6274463,41230.0
17,031,381800,17031381800,3818,Census Tract 3818,G5020,S,319368,0,+41.8038481,-087.6211978,40130.0
17,031,381900,17031381900,3819,Census Tract 3819,G5020,S,172690,0,+41.8039557,-087.6138885,40130.0
17,031,282100,17031282100,2821,Census Tract 2821,G5020,S,285282,0,+41.8732393,-087.6493466,40350.0
17,031,282200,17031282200,2822,Census Tract 2822,G5020,S,351161,0,+41.8729355,-087.6542029,40350.0
17,031,282300,17031282300,2823,Census Tract 2823,G5020,S,191597,0,+41.8743341,-087.6593770,40470.0
17,031,282400,17031282400,2824,Census Tract 2824,G5020,S,209694,0,+41.8740302,-087.6641877,40470.0
17,031,282500,17031282500,2825,Census Tract 2825,G5020,S,195896,0,+41.8752001,-087.6715696,40810.0
17,031,282600,17031282600,2826,Census Tract 2826,G5020,S,196872,0,+41.8750575,-087.6813807,40220.0
17,031,282700,17031282700,2827,Census Tract 2827,G5020,S,439303,0,+41.8713668,-087.6886812,40220.0
17,031,282800,17031282800,2828,Census Tract 2828,G5020,S,164412,0,+41.8702682,-087.6849136,40220.0
17,031,670700,17031670700,6707,Census Tract 6707,G5020,S,326730,0,+41.7830686,-087.6667315,40290.0
17,031,670800,17031670800,6708,Census Tract 6708,G5020,S,326296,0,+41.7831442,-087.6618790,40290.0
17,031,671000,17031671000,6710,Census Tract 6710,G5020,S,326302,0,+41.7759317,-087.6568304,40290.0
17,031,671100,17031671100,6711,Census Tract 6711,G5020,S,245617,0,+41.7767815,-087.6617118,40290.0
17,031,400100,17031400100,4001,Census Tract 4001,G5020,S,665796,0,+41.8002466,-087.6161802,40130.0
17,031,400200,17031400200,4002,Census Tract 4002,G5020,S,194675,0,+41.7982949,-087.6272408,41170.0
17,031,282900,17031282900,2829,Census Tract 2829,G5020,S,782294,0,+41.8715983,-087.6751165,41030.0
17,031,283000,17031283000,2830,Census Tract 2830,G5020,S,375270,0,+41.8679505,-087.6750021,41030.0
17,031,283100,17031283100,2831,Census Tract 2831,G5020,S,212435,0,+41.8692736,-087.6640458,41030.0
17,031,283500,17031283500,2835,Census Tract 2835,G5020,S,523863,0,+41.8695941,-087.6411209,40430.0
17,031,671200,17031671200,6712,Census Tract 6712,G5020,S,244922,0,+41.7766993,-087.6665823,40290.0
17,031,807300,17031807300,8073,Census Tract 8073,G5020,S,2036827,0,+42.0337589,-087.7549108,40140.0
17,031,400300,17031400300,4003,Census Tract 4003,G5020,S,1324154,140288,+41.7897177,-087.6114372,40510.0
17,031,400400,17031400400,4004,Census Tract 4004,G5020,S,326944,0,+41.7911261,-087.6183211,40510.0
17,031,400500,17031400500,4005,Census Tract 4005,G5020,S,326148,0,+41.7910414,-087.6231791,40510.0
17,031,400800,17031400800,4008,Census Tract 4008,G5020,S,493311,0,+41.7828633,-087.6205580,41140.0
17,031,284000,17031284000,2840,Census Tract 2840,G5020,S,332288,0,+41.8632131,-087.6687724,40830.0
17,031,561300,17031561300,5613,Census Tract 5613,G5020,S,266493,0,+41.7892477,-087.7398158,40930.0
17,031,680700,17031680700,6807,Census Tract 6807,G5020,S,326972,0,+41.7833487,-087.6473091,40940.0
17,031,680800,17031680800,6808,Census Tract 6808,G5020,S,273513,0,+41.7839667,-087.6424324,40940.0
17,031,816000,17031816000,8160,Census Tract 8160,G5020,S,1262890,0,+41.8763759,-087.8163473,40390.0
17,031,807400,17031807400,8074,Census Tract 8074,G5020,S,1396763,0,+42.0281935,-087.7398439,41680.0
17,031,680900,17031680900,6809,Census Tract 6809,G5020,S,1033026,0,+41.7764282,-087.6376321,40940.0
17,031,681000,17031681000,6810,Census Tract 6810,G5020,S,651695,0,+41.7760394,-087.6495526,40940.0
17,031,420400,17031420400,4204,Census Tract 4204,G5020,S,245127,0,+41.7831699,-087.6035584,40720.0
17,031,420500,17031420500,4205,Census Tract 4205,G5020,S,245980,0,+41.7831002,-087.6084261,40720.0
17,031,809800,17031809800,8098,Census Tract 8098,G5020,S,597774,0,+42.0375290,-087.6854990,40690.0
17,031,291600,17031291600,2916,Census Tract 2916,G5020,S,220340,0,+41.8576415,-087.6922159,40440.0
17,031,291700,17031291700,2917,Census Tract 2917,G5020,S,352338,0,+41.8569257,-087.7007920,41040.0
17,031,291800,17031291800,2918,Census Tract 2918,G5020,S,103039,0,+41.8581289,-087.7076334,41040.0
17,031,291900,17031291900,2919,Census Tract 2919,G5020,S,77230,0,+41.8563270,-087.7074282,41040.0
17,031,580800,17031580800,5808,Census Tract 5808,G5020,S,183275,0,+41.8102195,-087.6866439,40310.0
17,031,581000,17031581000,5810,Census Tract 5810,G5020,S,342807,0,+41.8061795,-087.7088291,41150.0
17,031,590100,17031590100,5901,Census Tract 5901,G5020,S,358426,0,+41.8337038,-087.6628986,41060.0
17,031,690100,17031690100,6901,Census Tract 6901,G5020,S,650497,0,+41.7764960,-087.6203942,41140.0
17,031,690200,17031690200,6902,Census Tract 6902,G5020,S,424845,0,+41.7776462,-087.6275359,40910.0
17,031,690300,17031690300,6903,Census Tract 6903,G5020,S,512064,0,+41.7686690,-087.6290141,40990.0
17,031,690400,17031690400,6904,Census Tract 6904,G5020,S,651657,0,+41.7692585,-087.6202084,40990.0
17,031,808800,17031808800,8088,Census Tract 8088,G5020,S,1930007,0,+42.0648090,-087.6865578,41250.0
17,031,809900,17031809900,8099,Census Tract 8099,G5020,S,765553,0,+42.0376185,-087.6752631,40270.0
17,031,810000,17031810000,8100,Census Tract 8100,G5020,S,1108649,0,+42.0283136,-087.6732870,40840.0
17,031,810100,17031810100,8101,Census Tract 8101,G5020,S,723780,0,+42.0302060,-087.6846291,40270.0
17,031,590300,17031590300,5903,Census Tract 5903,G5020,S,538982,0,+41.8335322,-087.6797777,40120.0
17,031,590400,17031590400,5904,Census Tract 5904,G5020,S,292242,0,+41.8294422,-087.6857632,40120.0
17,031,590500,17031590500,5905,Census Tract 5905,G5020,S,572157,24222,+41.8248951,-087.6804852,40120.0
17,031,600100,17031600100,6001,Census Tract 6001,G5020,S,157360,0,+41.8471621,-087.6442695,41130.0
17,031,691300,17031691300,6913,Census Tract 6913,G5020,S,647447,0,+41.7546811,-087.6198472,40240.0
17,031,809300,17031809300,8093,Census Tract 8093,G5020,S,1017561,0,+42.0579529,-087.6864654,40400.0
17,031,809400,17031809400,8094,Census Tract 8094,G5020,S,1009719,0,+42.0460563,-087.6784250,40050.0
17,031,809500,17031809500,8095,Census Tract 8095,G5020,S,706557,0,+42.0464561,-087.6877280,40050.0
17,031,292000,17031292000,2920,Census Tract 2920,G5020,S,82137,0,+41.8544841,-087.7077678,41040.0
17,031,292100,17031292100,2921,Census Tract 2921,G5020,S,106733,0,+41.8538594,-087.7120421,40780.0
17,031,292200,17031292200,2922,Census Tract 2922,G5020,S,398013,0,+41.8566518,-087.7157068,40780.0
