STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,closest_station_id
17,031,840300,17031840300,8403,Census Tract 8403,G5020,S,831224,0,+41.8320943,-087.6818822,40120.0
17,031,840200,17031840200,8402,Census Tract 8402,G5020,S,831087,0,+41.8445748,-087.6491915,41130.0
17,031,841100,17031841100,8411,Census Tract 8411,G5020,S,1143247,0,+41.8510058,-087.6350978,41000.0
17,031,841200,17031841200,8412,Census Tract 8412,G5020,S,625405,0,+41.8555618,-087.6833420,40740.0
17,031,838200,17031838200,8382,Census Tract 8382,G5020,S,1157564,0,+41.8704157,-087.6750794,41030.0
17,031,650301,17031650301,6503.01,Census Tract 6503.01,G5020,S,985559,0,+41.7749275,-087.7299916,40930.0
17,031,760803,17031760803,7608.03,Census Tract 7608.03,G5020,S,760355,0,+41.9753463,-087.8441545,40230.0
17,031,440201,17031440201,4402.01,Census Tract 4402.01,G5020,S,531537,0,+41.7482101,-087.6100746,40240.0
17,031,839000,17031839000,8390,Census Tract 8390,G5020,S,516458,0,+41.8710442,-087.6314045,41490.0
17,031,833300,17031833300,8333,Census Tract 8333,G5020,S,477825,0,+41.8716913,-087.6541251,40350.0
17,031,832900,17031832900,8329,Census Tract 8329,G5020,S,401291,0,+41.8741753,-087.6618908,40470.0
17,031,838000,17031838000,8380,Census Tract 8380,G5020,S,537835,0,+41.8773642,-087.6806502,40810.0
17,031,838100,17031838100,8381,Census Tract 8381,G5020,S,822113,0,+41.8786651,-087.6716805,40810.0
17,031,833100,17031833100,8331,Census Tract 8331,G5020,S,922169,0,+41.8790768,-087.6570454,40470.0
17,031,839100,17031839100,8391,Census Tract 8391,G5020,S,1186061,0,+41.8810267,-087.6327464,40040.0
17,031,030601,17031030601,306.01,Census Tract 306.01,G5020,S,142181,110657,+41.9888802,-087.6549042,40880.0
17,031,030604,17031030604,306.04,Census Tract 306.04,G5020,S,174696,109054,+41.9856712,-087.6528374,41380.0
17,031,030706,17031030706,307.06,Census Tract 307.06,G5020,S,395781,186155,+41.9804564,-087.6509730,40340.0
17,031,040201,17031040201,402.01,Census Tract 402.01,G5020,S,721412,0,+41.9725804,-087.6940005,41010.0
17,031,040202,17031040202,402.02,Census Tract 402.02,G5020,S,588656,0,+41.9798549,-087.6940960,41010.0
17,031,838700,17031838700,8387,Census Tract 8387,G5020,S,658084,0,+41.8625775,-087.7201851,40150.0
17,031,841500,17031841500,8415,Census Tract 8415,G5020,S,432306,0,+41.8616224,-087.7079132,41040.0
17,031,838600,17031838600,8386,Census Tract 8386,G5020,S,246252,0,+41.8678233,-087.7008236,40250.0
17,031,837300,17031837300,8373,Census Tract 8373,G5020,S,368497,0,+41.8716191,-087.7055524,40250.0
